timestamp_local,outdoor_temperature_c,heat_truth_mw,heat_pred_mw,cool_truth_mw,cool_pred_mw
2023-01-01 00:00:00,2.2,2161.0113598256194,2227.0230606286677,2.8613972072701414e-13,0.0
2023-01-01 01:00:00,1.6,2258.9328781311624,2306.811180462811,2.0400491980264198e-13,0.0
2023-01-01 02:00:00,1.4,2264.98215534291,2336.71230579074,2.4191010019862784e-13,0.0
2023-01-01 03:00:00,0.7,2353.9614509267703,2425.238964779417,2.6186349918722473e-13,0.0
2023-01-01 04:00:00,1.9,2274.965846609392,2285.38017456149,6.896811123284592e-14,0.0
2023-01-01 05:00:00,3.5,2008.6211990257125,2095.0340888269793,6.729494815450804e-14,0.0
2023-01-01 06:00:00,1.1,2112.3462116632695,2276.004568183667,9.597311800540283e-14,0.0
2023-01-01 07:00:00,3.2,1938.928041554406,2010.5410369148074,2.0077956940054494e-14,0.0
2023-01-01 08:00:00,3.1,1953.3652833762874,2045.4796701699165,2.2538761480004132e-13,0.0
2023-01-01 09:00:00,2.8,1352.5753805040497,1754.8055382562611,4.788198631030531e-14,0.0
2023-01-01 10:00:00,3.9,726.8730845566346,1105.1298860665806,1.6357105568838024e-15,0.0
2023-01-01 11:00:00,4.2,349.01026409024144,860.9902099791262,2.2082092517931333e-14,0.0
2023-01-01 12:00:00,4.8,255.95478635041076,759.5732878892991,0.0,0.0
2023-01-01 13:00:00,6.0,25.996927158709127,573.7834995537164,0.0,0.0
2023-01-01 14:00:00,6.3,18.209126271165456,397.0445556278367,0.0,0.0
2023-01-01 15:00:00,6.0,66.15274876178331,461.3099699936414,0.0,0.0
2023-01-01 16:00:00,3.2,1092.1719832457936,1476.6186302993592,9.862439722396768e-14,0.0
2023-01-01 17:00:00,3.0,1635.1832523791095,1905.932250534959,5.275166545950264e-14,0.0
2023-01-01 18:00:00,3.0,1578.1640273578982,1879.7730194012286,1.4151683972149752e-13,0.0
2023-01-01 19:00:00,2.5,1638.1155392875153,1930.0766446544387,2.2837498548610856e-13,0.0
2023-01-01 20:00:00,2.9,1755.112567430403,1974.9861613167307,2.175900066837737e-13,0.0
2023-01-01 21:00:00,3.0,1778.565029765869,1984.2754496212522,8.274930077246528e-14,0.0
2023-01-01 22:00:00,3.4,1852.8146283231445,2067.848794234697,2.4635391654631663e-13,0.0
2023-01-01 23:00:00,3.0,1965.260142539582,2129.0097948600214,1.94115751418431e-13,0.0
2023-01-02 00:00:00,2.7,2044.786824449216,2181.2298484102553,1.9132174353318177e-14,0.0
2023-01-02 01:00:00,2.4,2118.923572748845,2214.5533183485404,2.821506015120715e-13,0.0
2023-01-02 02:00:00,2.7,2132.057279510198,2196.679690257776,4.015591388010901e-14,0.0
