timestamp_local,heat_truth_mw,heat_pred_mw,cool_truth_mw,cool_pred_mw,outdoor_temperature_c,week
2023-09-07 07:00:00,9.793474769708863e-14,0.0,528.6496447933924,491.9142599715963,15.9,autumn
2023-09-07 08:00:00,1.0105172969935043e-13,0.0,1835.7351604496994,1436.9260983112417,18.6,autumn
2023-09-07 09:00:00,3.3271033668632196e-13,0.0,2843.5837025073934,2759.416012880791,21.1,autumn
2023-09-07 10:00:00,6.18073024013185e-13,0.0,3187.617909162524,3359.0316524239092,23.4,autumn
2023-09-07 11:00:00,2.9347853545546937e-13,0.0,3281.810962211352,3687.8945518113483,25.4,autumn
2023-09-07 12:00:00,8.417786447046297e-13,0.0,3506.234438353209,3795.8135871412737,26.4,autumn
2023-09-07 13:00:00,2.693052019296577e-13,0.0,3956.8810816818195,4195.041715850068,27.1,autumn
2023-09-07 14:00:00,9.517083247089314e-14,0.0,4216.69421444872,4232.665833241709,27.2,autumn
2023-09-07 15:00:00,3.868011426278496e-13,0.0,4082.1622135311754,4111.232083774817,26.9,autumn
2023-09-07 16:00:00,8.734433338814241e-13,0.0,3668.8878281964635,3832.1889774193864,26.4,autumn
2023-09-07 17:00:00,5.812878370639425e-13,0.0,2948.5552183405307,3399.0752458606917,25.5,autumn
2023-09-07 18:00:00,8.505694895795775e-14,0.0,1196.640768407788,1257.4051739120846,23.5,autumn
2023-09-07 19:00:00,1.1714666761800995e-13,0.0,797.7530040667737,810.5432929743687,20.8,autumn
2023-09-07 20:00:00,5.100033440144079e-14,0.0,480.09784338673114,430.1075014576642,18.8,autumn
2023-09-07 21:00:00,1.673163078337875e-15,0.0,311.9767984243329,291.22665329499887,18.4,autumn
2023-09-07 22:00:00,2.49850886107059e-14,0.0,190.45425305038572,280.4702433733502,19.4,autumn
2023-09-07 23:00:00,2.0727275871953073e-15,0.0,103.92081041510974,111.49113146446959,18.8,autumn
2023-09-08 00:00:00,3.555471541467983e-15,0.0,67.13563366168964,68.22116481626742,17.9,autumn
2023-09-08 01:00:00,1.7747743267862443e-14,0.0,47.40194695945625,40.08953372138606,16.6,autumn
2023-09-08 02:00:00,7.031356474846064e-15,0.0,32.424336369710275,29.498674496115143,16.0,autumn
2023-09-08 03:00:00,5.333207312201975e-15,39.6388680354796,13.843928582987948,10.266557889536202,13.6,autumn
