t_bin_c,n_hours,heat_truth_mw,heat_pred_mw,cool_truth_mw,cool_pred_mw
-7.0,14,3140.76404398071,2923.669530362167,1.2661201501552377e-13,0.0
-6.0,26,3044.819820476984,2941.176736620308,2.0607580037614944e-13,0.0
-5.0,47,2703.969728464967,2639.8451278281814,1.6304775763640546e-13,0.0
-4.0,38,2564.8139092040547,2536.8677129572734,1.3112918267136044e-13,0.0
-3.0,73,2374.625257435683,2310.911212783326,1.374182926404916e-13,0.0
-2.0,126,2289.8261217104096,2256.6417758532584,6.702497494695358e-07,0.0
-1.0,199,2121.1262206317338,2132.296754652051,7.132457185785475e-06,0.0
0.0,277,1981.873198956953,1995.2054448429524,0.026924587439565505,0.0
1.0,258,1857.8236254440294,1872.657169141279,1.0060338995117171e-13,0.0
2.0,283,1639.481859795742,1693.2512181201878,0.11297412278441858,0.0
3.0,336,1518.7516341931616,1576.8505662305417,0.26742739548966443,0.0682437359140588
4.0,382,1388.8210063190895,1428.6989029395831,0.5592137594777877,0.1388354187639586
5.0,350,1108.056617096925,1123.6431423182187,1.5080375686830376,0.27217434777931304
6.0,349,892.5931598903801,923.2645665060368,2.744135151647885,2.8860296927905833
7.0,332,802.5825063429579,826.1255179879265,4.533694082105016,2.7799847645840465
8.0,340,584.8747536970892,600.7856510835949,14.983006003726798,7.614961390744775
9.0,313,465.06058776862295,484.64103169073485,18.79078852706549,11.972088395032527
10.0,322,313.43078525020303,343.6646491198884,36.1939795171919,28.235030506431052
11.0,334,205.89419644389557,199.5525868994813,46.78911121705153,39.21045399797201
12.0,323,138.2656059712325,130.45939603511002,86.43197639042158,68.56516355071827
13.0,345,50.798510077081204,62.772692850045765,136.52537058850265,109.09769135653771
14.0,295,8.108297827414082,16.264390489137007,213.43966698304197,185.1322804325548
15.0,357,5.001131230475153,8.585792415085969,269.8027699919265,256.70541971326986
16.0,297,0.1706434920774427,1.4085573889242171,385.65723162624226,380.9601945149322
17.0,344,0.4519550475492888,1.7801426135674476,494.6570214106595,474.79458662382035
18.0,312,1.547830393592256e-05,0.297520551009701,677.0582020741097,646.1018343577388
19.0,282,5.0579020869083024e-05,0.0,1021.3070067991356,1017.0620701046465
20.0,267,1.0652329997060126e-13,0.0,1235.8205963642488,1179.6208163352685
21.0,273,1.448290529867559e-13,0.0,1568.673872745666,1571.9068729548553
22.0,221,1.3303352801244405e-13,0.0,1756.2261263488094,1832.7272758063143
23.0,186,1.4315141479566054e-13,0.0,2059.070330584504,2094.709388271274
24.0,176,1.9891131703093111e-13,0.0,2451.006286296305,2459.6946679991856
25.0,162,2.0845669564828905e-13,0.0,2707.8550995896653,2719.761044480918
26.0,132,2.0961574573626193e-13,0.0,3116.7816480849056,3128.1203122394504
27.0,96,2.6707639113056426e-13,0.0,3535.239292058035,3574.6765401447906
28.0,84,2.5808707697380576e-13,0.0,3717.5112312531037,3757.5264573659542
29.0,73,1.0985004673379489e-13,0.0,4064.2716748279563,4072.7802345242108
30.0,42,1.7260274098148469e-13,0.0,4298.905102592524,4301.57001556246
31.0,42,1.656649110649239e-13,0.0,4319.203277663579,4275.567130529757
32.0,19,1.0750201583278005e-13,0.0,4493.446319547601,4422.053097775424
33.0,14,2.1623830094600982e-13,0.0,4675.920201502134,4506.7765123881445
34.0,13,2.314966620033035e-13,0.0,4804.297100327132,4576.827661971444
