Year,Month,Day,Hour,Minute,zone_windows_transmitted_solar_rate_w,site_outdoor_air_drybulb_c,zone_air_heat_balance_outdoor_air_transfer_rate_w,zone_ideal_loads_outdoor_air_sensible_cooling_rate_w,zone_ideal_loads_outdoor_air_sensible_heating_rate_w,zone_total_cooling_rate_w,zone_total_heating_rate_w,zone_infiltration_sensible_heat_gain_energy_j,zone_infiltration_sensible_heat_loss_energy_j,zone_mean_air_temperature_c,zone_ventilation_sensible_heat_gain_energy_j,zone_ventilation_sensible_heat_loss_energy_j,zone_windows_total_heat_gain_rate_w,zone_windows_total_heat_loss_rate_w,zone_total_heating_kwh,zone_total_cooling_kwh,zone_windows_transmitted_solar_kwh,zone_windows_total_heat_gain_kwh,zone_windows_total_heat_loss_kwh,zone_infiltration_sensible_heat_loss_kwh,zone_infiltration_sensible_heat_gain_kwh,zone_ventilation_sensible_heat_loss_kwh,zone_ventilation_sensible_heat_gain_kwh,zone_air_heat_balance_outdoor_air_loss_kwh,zone_air_heat_balance_outdoor_air_gain_kwh,zone_ideal_loads_outdoor_air_sensible_heating_kwh,zone_ideal_loads_outdoor_air_sensible_cooling_kwh,heating_kwh_per_reference_gfa_m2,cooling_kwh_per_reference_gfa_m2,zone_total_heating_rate_w_scaled_to_cohort,zone_total_cooling_rate_w_scaled_to_cohort,timestamp_local,heating_setpoint_c,cooling_setpoint_c,internal_gains_w_m2,infiltration_ach,ventilation_ach,internal_gains_fraction,infiltration_fraction,ventilation_fraction,event_type,event_active,event_elapsed_h,event_remaining_h,event_setpoint_delta_c,reference_heating_setpoint_c,heating_setpoint_delta_c,epw_outdoor_air_drybulb_c,epw_ghi_wh_m2,epw_dni_wh_m2,epw_dhi_wh_m2,internal_gains_total_w,approx_transmission_loss_seed_ua_w,approx_transmission_gain_seed_ua_w,approx_infiltration_loss_w,approx_infiltration_gain_w,approx_ventilation_loss_w,approx_ventilation_gain_w,window_to_floor_ratio_reference,wall_to_floor_ratio_reference,roof_to_floor_ratio_reference,floor_exposed_to_floor_ratio_reference,window_solar_transmitted_kwh,window_heat_gain_kwh,window_heat_loss_kwh,teacher_infiltration_sensible_heat_loss_kwh,teacher_infiltration_sensible_heat_gain_kwh,teacher_ventilation_sensible_heat_loss_kwh,teacher_ventilation_sensible_heat_gain_kwh,teacher_infiltration_sensible_heat_loss_w,teacher_ventilation_sensible_heat_loss_w,teacher_outdoor_air_loss_w,teacher_outdoor_air_gain_w,teacher_outdoor_air_loss_kwh,teacher_outdoor_air_gain_kwh,teacher_ideal_loads_outdoor_air_sensible_heating_kwh,teacher_ideal_loads_outdoor_air_sensible_cooling_kwh,cohort_id,heating_w_per_m2,internal_gains_w_per_m2,solar_gains_w_per_m2,transmission_loss_w_per_m2,ventilation_loss_w_per_m2
2021,1,18,11,0,17491.41307986578,-2.7,-1862.7593806158004,0.0,0.0,0.0,12927.615848901569,0.0,6705933.770216881,22.0,0.0,0.0,11115.717007325136,0.0,12.927615848901567,0.0,17.49141307986578,11.115717007325136,0.0,1.8627593806158005,0.0,0.0,0.0,1.8627593806158005,0.0,0.0,0.0,0.0129276158489015,0.0,627752550.1913089,0.0,2021-01-18 10:00:00,22.0,27.0,3.763190286,0.07,0.474751742,0.3448505313485768,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-2.7,135,205,89,3763.190286,83757.7,0.0,1763.5864984605398,0.0,11960.93946159745,0.0,0.18,0.82,0.37,0.36,17.49141307986578,11.115717007325136,0.0,1.8627593806158005,0.0,0.0,0.0,1862.7593806158,0.0,1862.7593806158004,0.0,1.8627593806158005,0.0,0.0,0.0,residential_pre1975,12.927615848901569,3.763190286,17.49141307986578,83.7577,11.96093946159745
2021,1,18,12,0,15311.442951599958,-1.6,-1772.9394817602551,0.0,0.0,0.0,12095.54621670781,0.0,6382582.134336919,22.000000000000004,0.0,0.0,8969.772314471029,0.0,12.09554621670781,0.0,15.311442951599956,8.96977231447103,0.0,1.772939481760255,0.0,0.0,0.0,1.772939481760255,0.0,0.0,0.0,0.0120955462167078,0.0,587348051.8173293,0.0,2021-01-18 11:00:00,22.0,27.0,3.984930584,0.07,0.474751742,0.3651703275255517,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-1.6,169,123,131,3984.930584,80027.60000000002,0.0,1685.0462090554151,0.0,11428.266044279348,0.0,0.18,0.82,0.37,0.36,15.311442951599956,8.96977231447103,0.0,1.772939481760255,0.0,0.0,0.0,1772.9394817602551,0.0,1772.9394817602551,0.0,1.772939481760255,0.0,0.0,0.0,residential_pre1975,12.09554621670781,3.984930584,15.311442951599957,80.02760000000002,11.428266044279347
2021,1,18,13,0,10106.702478451552,-0.9,-1715.339904471601,0.0,0.0,0.0,14511.971494730327,0.0,6175223.656097761,22.0,0.0,0.0,3554.897644175257,0.0,14.511971494730329,0.0,10.106702478451552,3.5548976441752576,0.0,1.7153399044716005,0.0,0.0,0.0,1.715339904471601,0.0,0.0,0.0,0.0145119714947303,0.0,704687331.4149876,0.0,2021-01-18 12:00:00,22.0,27.0,4.094298526,0.07,0.474751742,0.3751925666484341,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-0.9,145,17,139,4094.298526,77653.9,0.0,1635.0660248885167,0.0,11089.29205144055,0.0,0.18,0.82,0.37,0.36,10.106702478451552,3.5548976441752576,0.0,1.7153399044716005,0.0,0.0,0.0,1715.3399044716004,0.0,1715.339904471601,0.0,1.715339904471601,0.0,0.0,0.0,residential_pre1975,14.511971494730327,4.094298526,10.106702478451552,77.6539,11.08929205144055
2021,1,18,14,0,4986.247245474623,-2.5,-1846.585222980577,0.0,0.0,0.0,20528.939950676988,0.0,6647706.802730077,22.0,0.0,0.0,0.0,2359.796773923232,20.52893995067699,0.0,4.986247245474623,0.0,2.3597967739232324,1.846585222980577,0.0,0.0,0.0,1.846585222980577,0.0,0.0,0.0,0.0205289399506769,0.0,996865513.129918,0.0,2021-01-18 13:00:00,22.0,27.0,3.841201014,0.07,0.474751742,0.3519992639284231,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-2.5,76,0,76,3841.201014,83079.5,0.0,1749.3064458414262,0.0,11864.089749357794,0.0,0.18,0.82,0.37,0.36,4.986247245474623,0.0,2.3597967739232324,1.846585222980577,0.0,0.0,0.0,1846.585222980577,0.0,1846.585222980577,0.0,1.846585222980577,0.0,0.0,0.0,residential_pre1975,20.52893995067699,3.841201014,4.986247245474623,83.0795,11.864089749357793
2021,1,18,15,0,3855.8853533871097,-1.8,-1788.6773432505977,0.0,0.0,0.0,22187.03312742204,0.0,6439238.435702152,22.0,0.0,0.0,0.0,3074.563515919847,22.18703312742204,0.0,3.8558853533871096,0.0,3.074563515919847,1.7886773432505976,0.0,0.0,0.0,1.7886773432505978,0.0,0.0,0.0,0.022187033127422,0.0,1077380917.6965656,0.0,2021-01-18 14:00:00,22.0,27.0,3.521291779,0.07,0.474751742,0.3226834809653644,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-1.8,56,9,53,3521.291779,80705.8,0.0,1699.3262616745285,0.0,11525.115756519,0.0,0.18,0.82,0.37,0.36,3.8558853533871096,0.0,3.074563515919847,1.7886773432505976,0.0,0.0,0.0,1788.6773432505977,0.0,1788.6773432505977,0.0,1.7886773432505978,0.0,0.0,0.0,residential_pre1975,22.18703312742204,3.5212917790000002,3.8558853533871096,80.7058,11.525115756519
2021,1,18,16,0,4099.972293187517,-1.3,-1748.2105706204527,0.0,0.0,3.637978807091713e-12,21695.855271268418,0.0,6293558.054233629,22.0,0.0,0.0,0.0,2918.6891057952976,21.695855271268417,3.637978807091713e-15,4.099972293187517,0.0,2.918689105795297,1.7482105706204525,0.0,0.0,0.0,1.7482105706204527,0.0,0.0,0.0,0.0216958552712684,3.6379788070917136e-18,1053529794.9990937,1.766567401434507e-07,2021-01-18 15:00:00,22.0,27.0,3.528459143,0.07,0.474751742,0.3233402825342258,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-1.3,41,29,34,3528.459143,79010.3,0.0,1663.6261301267443,0.0,11282.991475919862,0.0,0.18,0.82,0.37,0.36,4.099972293187517,0.0,2.918689105795297,1.7482105706204525,0.0,0.0,0.0,1748.2105706204525,0.0,1748.2105706204527,0.0,1.7482105706204527,0.0,0.0,0.0,residential_pre1975,21.695855271268417,3.528459143,4.099972293187517,79.0103,11.282991475919863
2021,1,18,17,0,0.0,-1.3,-1747.906690680562,0.0,0.0,3.637978807091713e-12,25177.403826530543,0.0,6292464.086450023,22.0,0.0,0.0,0.0,6958.172987983442,25.177403826530544,3.637978807091713e-15,0.0,0.0,6.958172987983442,1.7479066906805618,0.0,0.0,0.0,1.747906690680562,0.0,0.0,0.0,0.0251774038265305,3.6379788070917136e-18,1222590433.0723054,1.766567401434507e-07,2021-01-18 16:00:00,22.0,27.0,3.948197848,0.07,0.474751742,0.3618042198975073,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-1.3,17,16,15,3948.197848,79010.3,0.0,1663.6261301267443,0.0,11282.991475919862,0.0,0.18,0.82,0.37,0.36,0.0,0.0,6.958172987983442,1.7479066906805618,0.0,0.0,0.0,1747.9066906805615,0.0,1747.906690680562,0.0,1.747906690680562,0.0,0.0,0.0,residential_pre1975,25.177403826530544,3.948197848,0.0,79.0103,11.282991475919863
2021,1,18,18,0,0.0,-1.0,-1723.437929973069,0.0,0.0,0.0,25117.306269224853,0.0,6204376.547903049,22.0,0.0,0.0,0.0,6552.19421636884,25.11730626922485,0.0,0.0,0.0,6.55219421636884,1.723437929973069,0.0,0.0,0.0,1.723437929973069,0.0,0.0,0.0,0.0251173062692248,0.0,1219672153.6849952,0.0,2021-01-18 17:00:00,22.0,27.0,4.383636219,0.07,0.474751742,0.4017068403330312,1.0,1.0,none,0.0,0.0,0.0,0.0,22.0,0.0,-1.0,2,0,2,4383.636219,77993.0,0.0,1642.2060511980735,0.0,11137.71690756038,0.0,0.18,0.82,0.37,0.36,0.0,0.0,6.55219421636884,1.723437929973069,0.0,0.0,0.0,1723.437929973069,0.0,1723.437929973069,0.0,1.723437929973069,0.0,0.0,0.0,residential_pre1975,25.11730626922485,4.383636219,0.0,77.993,11.13771690756038
2021,1,18,19,0,0.0,0.2,-1625.9845680228068,0.0,0.0,3.637978807091713e-12,24194.700023586018,0.0,5853544.444882105,22.0,0.0,0.0,0.0,6625.667987485756,24.19470002358602,3.637978807091713e-15,0.0,0.0,6.625667987485756,1.6259845680228069,0.0,0.0,0.0,1.6259845680228069,0.0,0.0,0.0,0.024194700023586,3.6379788070917136e-18,1174871284.73193,1.766567401434507e-07,2021-01-18 18:00:00,22.0,27.0,5.259160364,0.07,0.372817549,0.48193795905562,1.0,0.7852894808335428,none,0.0,0.0,0.0,0.0,22.0,0.0,0.2,0,0,0,5259.160364,73923.8,0.0,1556.5257354833916,0.0,8290.00156654772,0.0,0.18,0.82,0.37,0.36,0.0,0.0,6.625667987485756,1.6259845680228069,0.0,0.0,0.0,1625.9845680228068,0.0,1625.9845680228068,0.0,1.6259845680228069,0.0,0.0,0.0,residential_pre1975,24.19470002358602,5.259160364,0.0,73.9238,8.290001566547721
2021,1,18,20,0,0.0,1.1,-1553.7815917972316,0.0,0.0,0.0,24328.20588961439,0.0,5593613.730470033,22.000000000000004,0.0,0.0,0.0,6714.517541359575,24.32820588961439,0.0,0.0,0.0,6.714517541359576,1.5537815917972315,0.0,0.0,0.0,1.5537815917972315,0.0,0.0,0.0,0.0243282058896143,0.0,1181354200.750194,0.0,2021-01-18 19:00:00,22.0,27.0,4.921846335,0.07,0.372817549,0.4510272388178659,1.0,0.7852894808335428,none,0.0,0.0,0.0,0.0,22.0,0.0,1.1,0,0,0,4921.846334999999,70871.90000000001,0.0,1492.26549869738,0.0,7947.753795451713,0.0,0.18,0.82,0.37,0.36,0.0,0.0,6.714517541359576,1.5537815917972315,0.0,0.0,0.0,1553.7815917972316,0.0,1553.7815917972316,0.0,1.5537815917972315,0.0,0.0,0.0,residential_pre1975,24.32820588961439,4.921846335,0.0,70.87190000000001,7.947753795451713
