date,day_label,duration_h,cohort,cohort_label,shifted_wh_m2,release_wh_m2,net_wh_m2
2023-01-17,Cold contrast,1,residential_pre1975,<1975,0.0,11.544579335853951,-11.544579335853951
2023-01-17,Cold contrast,1,residential_1975_1990,1975-1990,0.0,10.818986613621531,-10.818986613621531
2023-01-17,Cold contrast,1,residential_1990_2000,1990-2000,0.0,9.834810047078458,-9.834810047078458
2023-01-17,Cold contrast,1,residential_2000_2014,2000-2014,0.0,7.082838387359033,-7.082838387359033
2023-01-17,Cold contrast,4,residential_pre1975,<1975,1.3699415788195208e-12,11.544579335854719,-11.54457933585335
2023-01-17,Cold contrast,4,residential_1975_1990,1975-1990,0.0,10.818986613621531,-10.818986613621531
2023-01-17,Cold contrast,4,residential_1990_2000,1990-2000,0.0,9.834810047078458,-9.834810047078458
2023-01-17,Cold contrast,4,residential_2000_2014,2000-2014,0.0,7.08283838735903,-7.08283838735903
2023-01-17,Cold contrast,8,residential_pre1975,<1975,0.0,11.544579335853951,-11.544579335853951
2023-01-17,Cold contrast,8,residential_1975_1990,1975-1990,0.0,10.818986613621531,-10.818986613621531
2023-01-17,Cold contrast,8,residential_1990_2000,1990-2000,0.0,9.834810047078458,-9.834810047078458
2023-01-17,Cold contrast,8,residential_2000_2014,2000-2014,0.0,7.082838387359031,-7.082838387359031
2023-01-17,Cold contrast,12,residential_pre1975,<1975,0.0,11.54457933585396,-11.54457933585396
2023-01-17,Cold contrast,12,residential_1975_1990,1975-1990,0.0,10.818986613621531,-10.818986613621531
2023-01-17,Cold contrast,12,residential_1990_2000,1990-2000,0.0,9.834810047078458,-9.834810047078458
2023-01-17,Cold contrast,12,residential_2000_2014,2000-2014,0.0,7.082838387359033,-7.082838387359033
2023-01-17,Cold contrast,24,residential_pre1975,<1975,0.0,11.544579335853951,-11.544579335853951
2023-01-17,Cold contrast,24,residential_1975_1990,1975-1990,0.0,10.818986613621531,-10.818986613621531
2023-01-17,Cold contrast,24,residential_1990_2000,1990-2000,0.0,9.834810047078458,-9.834810047078458
2023-01-17,Cold contrast,24,residential_2000_2014,2000-2014,0.0,7.082838387359031,-7.082838387359031
2023-02-21,February savings,1,residential_pre1975,<1975,4.811919795603568e-13,11.54457933585411,-11.544579335853626
2023-02-21,February savings,1,residential_1975_1990,1975-1990,1.7723619175977556e-13,10.81898661362261,-10.818986613622434
2023-02-21,February savings,1,residential_1990_2000,1990-2000,4.334580776733642e-14,9.834810047079284,-9.834810047079241
2023-02-21,February savings,1,residential_2000_2014,2000-2014,9.071473286715335,7.279952566439437e-14,9.071473286715262
2023-02-21,February savings,4,residential_pre1975,<1975,12.31246151118036,23.219715865974674,-10.907254354794315
2023-02-21,February savings,4,residential_1975_1990,1975-1990,23.419195980872736,21.63797322724312,1.7812227536296135
2023-02-21,February savings,4,residential_1990_2000,1990-2000,21.72403898940082,19.669620094156915,2.054418895243904
2023-02-21,February savings,4,residential_2000_2014,2000-2014,36.28589314686148,2.71973695795052e-15,36.28589314686148
2023-02-21,February savings,8,residential_pre1975,<1975,49.24984604472144,46.178317343415806,3.071528701305631
2023-02-21,February savings,8,residential_1975_1990,1975-1990,46.83839196174952,42.25031052033028,4.58808144141924
2023-02-21,February savings,8,residential_1990_2000,1990-2000,21.72403898940113,19.669620094156915,2.0544188952442113
2023-02-21,February savings,8,residential_2000_2014,2000-2014,36.28589314686138,1.533665261358636e-13,36.28589314686123
2023-02-21,February savings,12,residential_pre1975,<1975,73.87476906708252,67.17281988931413,6.701949177768389
2023-02-21,February savings,12,residential_1975_1990,1975-1990,61.81853359780001,43.27594645448638,18.542587143313632
2023-02-21,February savings,12,residential_1990_2000,1990-2000,16.216907684152687,19.669620094157295,-3.4527124100046116
2023-02-21,February savings,12,residential_2000_2014,2000-2014,9.07147328671545,2.0262040336731374e-13,9.07147328671525
2023-02-21,February savings,24,residential_pre1975,<1975,79.00887145377628,69.2674760151237,9.741395438652567
2023-02-21,February savings,24,residential_1975_1990,1975-1990,52.532348403963034,43.27594645448617,9.256401949476867
2023-02-21,February savings,24,residential_1990_2000,1990-2000,12.402082925904413,19.669620094156915,-7.267537168252506
2023-02-21,February savings,24,residential_2000_2014,2000-2014,9.071473286715335,2.71973695795052e-15,9.071473286715332
